add-none,1,10,20,165631,8281,0
add-yield-none,1,10,20,128400,6420,0
add-m,1,10,20,116662,5833,0
add-yield-m,1,10,20,125592,6279,0
add-c,1,10,20,107380,5369,0
add-yield-c,1,10,20,127828,6391,0
add-s,1,10,20,109692,5484,0
add-yield-s,1,10,20,128444,6422,0
add-none,1,20,40,70312,1757,0
add-yield-none,1,20,40,196411,4910,0
add-m,1,20,40,130773,3269,0
add-yield-m,1,20,40,132992,3324,0
add-c,1,20,40,68711,1717,0
add-yield-c,1,20,40,104611,2615,0
add-s,1,20,40,107165,2679,0
add-yield-s,1,20,40,102831,2570,0
add-none,1,40,80,75075,938,0
add-yield-none,1,40,80,173579,2169,0
add-m,1,40,80,116984,1462,0
add-yield-m,1,40,80,246837,3085,0
add-c,1,40,80,110050,1375,0
add-yield-c,1,40,80,171591,2144,0
add-s,1,40,80,128163,1602,0
add-yield-s,1,40,80,163278,2040,0
add-none,1,80,160,110279,689,0
add-yield-none,1,80,160,214287,1339,0
add-m,1,80,160,77665,485,0
add-yield-m,1,80,160,236992,1481,0
add-c,1,80,160,125944,787,0
add-yield-c,1,80,160,192836,1205,0
add-s,1,80,160,122018,762,0
add-yield-s,1,80,160,240116,1500,0
add-none,1,100,200,125466,627,0
add-yield-none,1,100,200,261920,1309,0
add-m,1,100,200,119858,599,0
add-yield-m,1,100,200,267275,1336,0
add-c,1,100,200,112391,561,0
add-yield-c,1,100,200,268309,1341,0
add-s,1,100,200,108573,542,0
add-yield-s,1,100,200,263458,1317,0
add-none,1,1000,2000,87688,43,0
add-yield-none,1,1000,2000,1693803,846,0
add-m,1,1000,2000,136344,68,0
add-yield-m,1,1000,2000,1791522,895,0
add-c,1,1000,2000,162209,81,0
add-yield-c,1,1000,2000,1724379,862,0
add-s,1,1000,2000,137908,68,0
add-yield-s,1,1000,2000,1807317,903,0
add-none,1,10000,20000,273583,13,0
add-yield-none,1,10000,20000,15881103,794,0
add-m,1,10000,20000,789643,39,0
add-yield-m,1,10000,20000,16684866,834,0
add-c,1,10000,20000,488369,24,0
add-yield-c,1,10000,20000,15724182,786,0
add-s,1,10000,20000,420071,21,0
add-yield-s,1,10000,20000,15729022,786,0
add-none,1,100000,200000,1867201,9,0
add-yield-none,1,100000,200000,152634118,763,0
add-m,1,100000,200000,6731918,33,0
add-yield-m,1,100000,200000,156314123,781,0
add-c,1,100000,200000,4019568,20,0
add-yield-c,1,100000,200000,150583874,752,0
add-s,1,100000,200000,3231519,16,0
add-yield-s,1,100000,200000,151633360,758,0
add-none,2,10,40,123278,3081,0
add-yield-none,2,10,40,92948,2323,4
add-m,2,10,40,133148,3328,0
add-yield-m,2,10,40,165467,4136,0
add-c,2,10,40,118217,2955,0
add-yield-c,2,10,40,138543,3463,0
add-s,2,10,40,115629,2890,0
add-yield-s,2,10,40,92684,2317,0
add-none,2,20,80,116028,1450,0
add-yield-none,2,20,80,112702,1408,16
add-m,2,20,80,137505,1718,0
add-yield-m,2,20,80,199433,2492,0
add-c,2,20,80,115816,1447,0
add-yield-c,2,20,80,175453,2193,0
add-s,2,20,80,117148,1464,0
add-yield-s,2,20,80,134345,1679,0
add-none,2,40,160,116618,728,0
add-yield-none,2,40,160,147908,924,15
add-m,2,40,160,130965,818,0
add-yield-m,2,40,160,264279,1651,0
add-c,2,40,160,112799,704,0
add-yield-c,2,40,160,241993,1512,0
add-s,2,40,160,83123,519,0
add-yield-s,2,40,160,241451,1509,0
add-none,2,80,320,115549,361,0
add-yield-none,2,80,320,221810,693,16
add-m,2,80,320,118199,369,0
add-yield-m,2,80,320,567862,1774,0
add-c,2,80,320,104978,328,0
add-yield-c,2,80,320,375105,1172,0
add-s,2,80,320,121091,378,0
add-yield-s,2,80,320,370659,1158,0
add-none,2,100,400,98197,245,0
add-yield-none,2,100,400,258523,646,16
add-m,2,100,400,146410,366,0
add-yield-m,2,100,400,667162,1667,0
add-c,2,100,400,133894,334,0
add-yield-c,2,100,400,467481,1168,0
add-s,2,100,400,120474,301,0
add-yield-s,2,100,400,462947,1157,0
add-none,2,1000,4000,94949,23,0
add-yield-none,2,1000,4000,1940117,485,10
add-m,2,1000,4000,570399,142,0
add-yield-m,2,1000,4000,5732189,1433,0
add-c,2,1000,4000,220075,55,0
add-yield-c,2,1000,4000,3712629,928,0
add-s,2,1000,4000,256250,64,0
add-yield-s,2,1000,4000,3789150,947,0
add-none,2,10000,40000,748275,18,-4313
add-yield-none,2,10000,40000,18613689,465,-687
add-m,2,10000,40000,3370072,84,0
add-yield-m,2,10000,40000,54632368,1365,0
add-c,2,10000,40000,2063471,51,0
add-yield-c,2,10000,40000,36107674,902,0
add-s,2,10000,40000,2533064,63,0
add-yield-s,2,10000,40000,34884959,872,0
add-none,2,100000,400000,6536060,16,-40584
add-yield-none,2,100000,400000,179548245,448,120
add-m,2,100000,400000,33863569,84,0
add-yield-m,2,100000,400000,530597531,1326,0
add-c,2,100000,400000,20358069,50,0
add-yield-c,2,100000,400000,354676800,886,0
add-s,2,100000,400000,25926390,64,0
add-yield-s,2,100000,400000,337486706,843,0
add-none,4,10,80,186423,2330,0
add-yield-none,4,10,80,176467,2205,10
add-m,4,10,80,165972,2074,0
add-yield-m,4,10,80,203899,2548,0
add-c,4,10,80,189537,2369,0
add-yield-c,4,10,80,186726,2334,0
add-s,4,10,80,177073,2213,0
add-yield-s,4,10,80,186711,2333,0
add-none,4,20,160,167745,1048,0
add-yield-none,4,20,160,139587,872,20
add-m,4,20,160,172422,1077,0
add-yield-m,4,20,160,371842,2324,0
add-c,4,20,160,158716,991,0
add-yield-c,4,20,160,241861,1511,0
add-s,4,20,160,179048,1119,0
add-yield-s,4,20,160,259966,1624,0
add-none,4,40,320,171514,535,0
